Date;StockPrice;Sentiment Score;EPS;Revenue;Expense
44934.125;224.93;-5;2.23;51865;31331
44934.1666666667;224.93;-5;2.23;51865;31331
44934.2083333333;224.93;-5;2.23;51865;31331
44934.25;224.93;-5;2.23;51865;31331
44934.2916666667;224.93;-5;2.23;51865;31331
44934.3333333333;224.93;-5;2.23;51865;31331
44934.375;224.93;-5;2.23;51865;31331
44934.4166666667;224.93;-5;2.23;51865;31331
44934.4583333333;224.93;-5;2.23;51865;31331
44934.5;224.93;-5;2.23;51865;31331
44934.5416666667;224.93;-5;2.23;51865;31331
44934.5833333333;224.93;-5;2.23;51865;31331
44934.625;224.93;-5;2.23;51865;31331
44934.6666666667;224.93;-5;2.23;51865;31331
44934.7083333333;224.93;-5;2.23;51865;31331
44934.75;224.93;-5;2.23;51865;31331
44934.7916666667;224.93;-5;2.23;51865;31331
44934.8333333333;224.93;-5;2.23;51865;31331
44934.875;224.93;-5;2.23;51865;31331
44934.9166666667;224.93;-5;2.23;51865;31331
44934.9583333333;224.93;-5;2.23;51865;31331
44935;224.93;-5;2.23;51865;31331
44935.0416666667;224.93;-5;2.23;51865;31331
44935.0833333333;224.93;-5;2.23;51865;31331
44935.125;224.93;-5;2.23;51865;31331
44935.1666666667;224.93;0;2.23;51865;31331
44935.2083333333;224.93;0;2.23;51865;31331
44935.25;224.93;0;2.23;51865;31331
44935.2916666667;224.93;0;2.23;51865;31331
44935.3333333333;224.93;0;2.23;51865;31331
44935.375;224.93;0;2.23;51865;31331
44935.4166666667;224.93;2;2.23;51865;31331
44935.4583333333;224.93;2;2.23;51865;31331
44935.5;224.93;2;2.23;51865;31331
44935.5416666667;224.93;13;2.23;51865;31331
44935.5833333333;224.93;13;2.23;51865;31331
44935.625;224.93;13;2.23;51865;31331
44935.6666666667;229.1499;-7;2.23;51865;31331
44935.7083333333;229.51;-7;2.23;51865;31331
44935.75;230.33;2;2.23;51865;31331
44935.7916666667;230.67;2;2.23;51865;31331
44935.8333333333;229.16;2;2.23;51865;31331
44935.875;227.945;0;2.23;51865;31331
44935.9166666667;227.16;0;2.23;51865;31331
44935.9583333333;227.16;0;2.23;51865;31331
44936;227.12;0;2.23;51865;31331
44936.0416666667;227.12;0;2.23;51865;31331
44936.0833333333;227.12;0;2.23;51865;31331
44936.125;227.12;0;2.23;51865;31331
44936.1666666667;227.12;0;2.23;51865;31331
44936.2083333333;227.12;-17;2.23;51865;31331
44936.25;227.12;-17;2.23;51865;31331
44936.2916666667;227.12;-17;2.23;51865;31331
44936.3333333333;227.12;1;2.23;51865;31331
44936.375;227.12;0;2.23;51865;31331
44936.4166666667;227.12;-5;2.23;51865;31331
44936.4583333333;227.12;-5;2.23;51865;31331
44936.5;227.12;1;2.23;51865;31331
44936.5416666667;227.12;5;2.23;51865;31331
44936.5833333333;227.12;0;2.23;51865;31331
44936.625;227.12;0;2.23;51865;31331
44936.6666666667;229.97;6;2.23;51865;31331
44936.7083333333;228.7;6;2.23;51865;31331
44936.75;228.23;-2;2.23;51865;31331
44936.7916666667;228.28;-2;2.23;51865;31331
44936.8333333333;228.8844;0;2.23;51865;31331
44936.875;228.04;0;2.23;51865;31331
44936.9166666667;228.87;0;2.23;51865;31331
44936.9583333333;228.87;0;2.23;51865;31331
44937;228.85;0;2.23;51865;31331
44937.0416666667;228.85;0;2.23;51865;31331
44937.0833333333;228.85;0;2.23;51865;31331
44937.125;228.85;0;2.23;51865;31331
44937.1666666667;228.85;0;2.23;51865;31331
44937.2083333333;228.85;0;2.23;51865;31331
44937.25;228.85;0;2.23;51865;31331
44937.2916666667;228.85;0;2.23;51865;31331
44937.3333333333;228.85;14;2.23;51865;31331
44937.375;228.85;-21;2.23;51865;31331
44937.4166666667;228.85;3;2.23;51865;31331
44937.4583333333;228.85;-7;2.23;51865;31331
44937.5;228.85;-7;2.23;51865;31331
44937.5416666667;228.85;-7;2.23;51865;31331
44937.5833333333;228.85;0;2.23;51865;31331
44937.625;228.85;12;2.23;51865;31331
44937.6666666667;232.06;12;2.23;51865;31331
44937.7083333333;232.54;-20;2.23;51865;31331
44937.75;233.86;-2;2.23;51865;31331
44937.7916666667;233.82;-4;2.23;51865;31331
44937.8333333333;234.02;-10;2.23;51865;31331
44937.875;234.41;1;2.23;51865;31331
44937.9166666667;235.77;1;2.23;51865;31331
44937.9583333333;235.77;1;2.23;51865;31331
44938;235.77;1;2.23;51865;31331
44938.0416666667;235.77;-2;2.23;51865;31331
44938.0833333333;235.77;-2;2.23;51865;31331
44938.125;235.77;-2;2.23;51865;31331
44938.1666666667;235.77;-2;2.23;51865;31331
44938.2083333333;235.77;-2;2.23;51865;31331
44938.25;235.77;-2;2.23;51865;31331
44938.2916666667;235.77;-2;2.23;51865;31331
44938.3333333333;235.77;-2;2.23;51865;31331
44938.375;235.77;-2;2.23;51865;31331
44938.4166666667;235.77;1;2.23;51865;31331
44938.4583333333;235.77;2;2.23;51865;31331
44938.5;235.77;12;2.23;51865;31331
44938.5416666667;235.77;12;2.23;51865;31331
44938.5833333333;235.77;4;2.23;51865;31331
44938.625;235.77;0;2.23;51865;31331
44938.6666666667;234.63;0;2.23;51865;31331
44938.7083333333;237.29;0;2.23;51865;31331
44938.75;238.76;0;2.23;51865;31331
44938.7916666667;239.28;0;2.23;51865;31331
44938.8333333333;239.75;-1;2.23;51865;31331
44938.875;238.33;-26;2.23;51865;31331
44938.9166666667;238.51;-26;2.23;51865;31331
44938.9583333333;238.51;-26;2.23;51865;31331
44939;238.51;-20;2.23;51865;31331
44939.0416666667;238.51;-20;2.23;51865;31331
44939.0833333333;238.51;-20;2.23;51865;31331
44939.125;238.51;-20;2.23;51865;31331
44939.1666666667;238.51;-20;2.23;51865;31331
44939.2083333333;238.51;-20;2.23;51865;31331
44939.25;238.51;-20;2.23;51865;31331
44939.2916666667;238.51;-20;2.23;51865;31331
44939.3333333333;238.51;-20;2.23;51865;31331
44939.375;238.51;-20;2.23;51865;31331
44939.4166666667;238.51;-20;2.23;51865;31331
44939.4583333333;238.51;-1;2.23;51865;31331
44939.5;238.51;-1;2.23;51865;31331
44939.5416666667;238.51;-15;2.23;51865;31331
44939.5833333333;238.51;-15;2.23;51865;31331
44939.625;238.51;-15;2.23;51865;31331
44939.6666666667;236.66;-15;2.23;51865;31331
44939.7083333333;236.6;-21;2.23;51865;31331
44939.75;235.595;-21;2.23;51865;31331
44939.7916666667;236.43;-6;2.23;51865;31331
44939.8333333333;237.6;-6;2.23;51865;31331
44939.875;238.13;-6;2.23;51865;31331
44939.9166666667;239.23;4;2.23;51865;31331
44939.9583333333;239.23;4;2.23;51865;31331
44940;239.23;4;2.23;51865;31331
44940.0416666667;239.23;4;2.23;51865;31331
44940.0833333333;239.23;4;2.23;51865;31331
44940.125;239.23;4;2.23;51865;31331
44940.1666666667;239.23;4;2.23;51865;31331
44940.2083333333;239.23;4;2.23;51865;31331
44940.25;239.23;4;2.23;51865;31331
44940.2916666667;239.23;4;2.23;51865;31331
44940.3333333333;239.23;4;2.23;51865;31331
44940.375;239.23;4;2.23;51865;31331
44940.4166666667;239.23;-1;2.23;51865;31331
44940.4583333333;239.23;-4;2.23;51865;31331
44940.5;239.23;-4;2.23;51865;31331
44940.5416666667;239.23;-4;2.23;51865;31331
44940.5833333333;239.23;-4;2.23;51865;31331
44940.625;239.23;-4;2.23;51865;31331
44940.6666666667;239.23;-4;2.23;51865;31331
44940.7083333333;239.23;-4;2.23;51865;31331
44940.75;239.23;-4;2.23;51865;31331
44940.7916666667;239.23;-4;2.23;51865;31331
44940.8333333333;239.23;-4;2.23;51865;31331
44940.875;239.23;-4;2.23;51865;31331
44940.9166666667;239.23;-4;2.23;51865;31331
44940.9583333333;239.23;-4;2.23;51865;31331
44941;239.23;-4;2.23;51865;31331
44941.0416666667;239.23;-4;2.23;51865;31331
44941.0833333333;239.23;-4;2.23;51865;31331
44941.125;239.23;-4;2.23;51865;31331
44941.1666666667;239.23;-4;2.23;51865;31331
44941.2083333333;239.23;-4;2.23;51865;31331
44941.25;239.23;-4;2.23;51865;31331
44941.2916666667;239.23;-4;2.23;51865;31331
44941.3333333333;239.23;-4;2.23;51865;31331
44941.375;239.23;-4;2.23;51865;31331
44941.4166666667;239.23;-4;2.23;51865;31331
44941.4583333333;239.23;-4;2.23;51865;31331
44941.5;239.23;-4;2.23;51865;31331
44941.5416666667;239.23;-4;2.23;51865;31331
44941.5833333333;239.23;-4;2.23;51865;31331
44941.625;239.23;-4;2.23;51865;31331
44941.6666666667;239.23;-4;2.23;51865;31331
44941.7083333333;239.23;-4;2.23;51865;31331
44941.75;239.23;-4;2.23;51865;31331
44941.7916666667;239.23;-4;2.23;51865;31331
44941.8333333333;239.23;-4;2.23;51865;31331
44941.875;239.23;-4;2.23;51865;31331
44941.9166666667;239.23;-4;2.23;51865;31331
44941.9583333333;239.23;-4;2.23;51865;31331
44942;239.23;-4;2.23;51865;31331
44942.0416666667;239.23;-4;2.23;51865;31331
44942.0833333333;239.23;-4;2.23;51865;31331
44942.125;239.23;-4;2.23;51865;31331
44942.1666666667;239.23;-4;2.23;51865;31331
44942.2083333333;239.23;-4;2.23;51865;31331
44942.25;239.23;-4;2.23;51865;31331
44942.2916666667;239.23;-4;2.23;51865;31331
44942.3333333333;239.23;-4;2.23;51865;31331
44942.375;239.23;-4;2.23;51865;31331
44942.4166666667;239.23;-5;2.23;51865;31331
44942.4583333333;239.23;-5;2.23;51865;31331
44942.5;239.23;-5;2.23;51865;31331
44942.5416666667;239.23;-10;2.23;51865;31331
44942.5833333333;239.23;-10;2.23;51865;31331
44942.625;239.23;-8;2.23;51865;31331
44942.6666666667;239.23;-9;2.23;51865;31331
44942.7083333333;239.23;-9;2.23;51865;31331
44942.75;239.23;-9;2.23;51865;31331
44942.7916666667;239.23;-9;2.23;51865;31331
44942.8333333333;239.23;-9;2.23;51865;31331
44942.875;239.23;-9;2.23;51865;31331
44942.9166666667;239.23;-9;2.23;51865;31331
44942.9583333333;239.23;-1;2.23;51865;31331
44943;239.23;-1;2.23;51865;31331
44943.0416666667;239.23;0;2.23;51865;31331
44943.0833333333;239.23;0;2.23;51865;31331
44943.125;239.23;-15;2.23;51865;31331
44943.1666666667;239.23;-15;2.23;51865;31331
44943.2083333333;239.23;-15;2.23;51865;31331
44943.25;239.23;0;2.23;51865;31331
44943.2916666667;239.23;0;2.23;51865;31331
44943.3333333333;239.23;0;2.23;51865;31331
44943.375;239.23;-37;2.23;51865;31331
44943.4166666667;239.23;-1;2.23;51865;31331
44943.4583333333;239.23;2;2.23;51865;31331
44943.5;239.23;-16;2.23;51865;31331
44943.5416666667;239.23;-12;2.23;51865;31331
44943.5833333333;239.23;-16;2.23;51865;31331
44943.625;239.23;4;2.23;51865;31331
44943.6666666667;239.85;4;2.23;51865;31331
44943.7083333333;239.68;-16;2.23;51865;31331
44943.75;239.36;-21;2.23;51865;31331
44943.7916666667;239.5;-2;2.23;51865;31331
44943.8333333333;240.7;-31;2.23;51865;31331
44943.875;239.79;0;2.23;51865;31331
44943.9166666667;240.35;0;2.23;51865;31331
44943.9583333333;240.35;0;2.23;51865;31331
44944;240.35;0;2.23;51865;31331
44944.0416666667;240.35;-11;2.23;51865;31331
44944.0833333333;240.35;-9;2.23;51865;31331
44944.125;240.35;-9;2.23;51865;31331
44944.1666666667;240.35;-9;2.23;51865;31331
44944.2083333333;240.35;-27;2.23;51865;31331
44944.25;240.35;-27;2.23;51865;31331
44944.2916666667;240.35;-27;2.23;51865;31331
44944.3333333333;240.35;-27;2.23;51865;31331
44944.375;240.35;-14;2.23;51865;31331
44944.4166666667;240.35;-14;2.23;51865;31331
44944.4583333333;240.35;-18;2.23;51865;31331
44944.5;240.35;8;2.23;51865;31331
44944.5416666667;240.35;-4;2.23;51865;31331
44944.5833333333;240.35;-32;2.23;51865;31331
44944.625;240.35;-20;2.23;51865;31331
44944.6666666667;241.38;-44;2.23;51865;31331
44944.7083333333;238.22;-14;2.23;51865;31331
44944.75;237.32;-3;2.23;51865;31331
44944.7916666667;237.24;-3;2.23;51865;31331
